"InfluencerStandardized","standardizedCount","influencerList","platform"
"fcroelie",3,"fc roelie, FC roelie, FCRoelie, fcroellie","youtube_account"
"flamingo",3,"flamingo, Flamingo","youtube_account"
"fog",3,"fog, FOG, FOG11, fng, Log, tgg","youtube_account"
"freepalestina",3,"Free Palestina","youtube_account"
"funnymike",3,"funnymike, Funnymike","youtube_account"
"fusionzgamer",3,"FusionZgamer, FusionZGamer, Fusionzgamer.","youtube_account"
"galatasaray",3,"galatasaray, Galatasaray","youtube_account"
"gamesreal",3,"games4real, Games4real, game4real","youtube_account"
"geeneen",3,"geen een, geen zin, geen zun","youtube_account"
"geenidee",3,"geen idee","youtube_account"
"goodtimeswithscar",3,"Goodtimeswithscar, GoodtimeswithScar","youtube_account"
"graystillplays",3,"graystillplays, Graystilplays, Grey still plays","youtube_account"
"hopescope",3,"hopescope, Hopescope, Horoscope.","youtube_account"
"ikweetdenaamniet",3,"ik weet de naam niet","youtube_account"
"jarnoopmeer",3,"Jarno opmeer, Jarno Opmeer","youtube_account"
"jevader",3,"je vader, Je vader, jevader","youtube_account"
"jeremyfrieser",3,"jeremy frieser, jeremyfrieser","youtube_account"
"jmancurly",3,"jmancurly, Jmancurly","youtube_account"
"joelbeukers",3,"joel beukers","youtube_account"
"juliaheetman",3,"julia heetman, Julia heetman","youtube_account"
"justkass",3,"justkass, Justkass","youtube_account"
"kingalmightyyy",3,"kingalmightyyy, Kingalmightyyy, KingAlmightyyy, kingalmightyy, kingalmithyyy","youtube_account"
"kittadiy",3,"kitta diy, Kitta diy., kittadiy, Kitty Diy","youtube_account"
"ksi",3,"ksi, KSI, Goi, kai","youtube_account"
"lanadelrey",3,"lana del rey, Lana del rey","youtube_account"
